direction	source_pool	target_pool	selector_model	selector_bits	candidates_per_payload	base_library_sequences	payloads	base_payload_bits	payload_bits_after_selection	payload_bits_per_variable_nt	target_library_mean_outcome	selected_mean_outcome	paired_mean_outcome_gain	paired_gain_ci_2p5	paired_gain_ci_97p5	standardized_paired_gain	target_library_event_rate	selected_event_rate	paired_event_rate_change	event_change_ci_2p5	event_change_ci_97p5	fiber_score_variance_mean	fiber_outcome_variance_mean	negative_gain_fraction	zero_gain_fraction	positive_gain_fraction	score_decimal_places	fibers	choices_changed_by_quantization	quantized_extremum_tie_fibers	minimum_raw_top_gap	median_raw_top_gap	roundtrip_payloads	roundtrip_failures	independent_unit	evidence_boundary
GCfix_to_GCall	GCfix	GCall	P5_combined_context	1	2	2048	1024	11	10	0.09259259259259259	1.0000216169631462	1.0014133639327725	0.0013917469696264851	0.0010803836191530323	0.001721864715534549	0.17885427219247377	0.0224609375	0.0087890625	-0.013671875	-0.02001953125	-0.00732421875	4.207342602136314e-06	2.9634779664233536e-05	0.3798828125	0.0	0.6201171875	12	1024	0	0	6.269061036956458e-08	0.0024675057322157135	1024	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P0_composition	2	4	2048	512	11	9	0.08333333333333333	1.0000216169631462	1.0004062058378589	0.0003845888747128531	-0.00013371364107536013	0.0008857397423311211	0.04942375645951672	0.0224609375	0.015625	-0.0068359375	-0.0166015625	0.00341796875	1.7415791383282293e-07	4.5565429176437215e-05	0.443359375	0.0	0.556640625	12	512	1	4	0.0	0.000284555716088708	512	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P2_assay_context	2	4	2048	512	11	9	0.08333333333333333	1.0000216169631462	1.0015340064900455	0.0015123895268995774	0.0010129259521603642	0.0019852015655351086	0.19435812256716414	0.0224609375	0.0078125	-0.0146484375	-0.0234375	-0.00634765625	3.814212930782817e-06	4.5565429176437215e-05	0.3359375	0.0	0.6640625	12	512	0	0	7.562937359706368e-06	0.0010867383448858736	512	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P5_combined_context	2	4	2048	512	11	9	0.08333333333333333	1.0000216169631462	1.002157076087774	0.0021354591246280225	0.0016621447473999472	0.002585022697895241	0.27442918566916336	0.0224609375	0.005859375	-0.0166015625	-0.02490234375	-0.00830078125	6.07031956859368e-06	4.5565429176437215e-05	0.2734375	0.0	0.7265625	12	512	0	0	7.858455919329543e-07	0.0012613376584398317	512	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P0_composition	3	8	2048	256	11	8	0.07407407407407407	1.0000216169631462	1.000637099498501	0.0006154825353548448	-0.00016027838906896715	0.0013330428023793726	0.07909604497835754	0.0224609375	0.015625	-0.0068359375	-0.02001953125	0.008801269531249933	2.0606278367004252e-07	5.350053644093542e-05	0.3828125	0.0	0.6171875	12	256	1	5	0.0	0.00022814603221688046	256	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P2_assay_context	3	8	2048	256	11	8	0.07407407407407407	1.0000216169631462	1.0018016783243509	0.001780061361204966	0.0012084567456032353	0.0022979231516392943	0.2287567971509235	0.0224609375	0.00390625	-0.0185546875	-0.02734375	-0.0087890625	4.352449581927075e-06	5.350053644093542e-05	0.2890625	0.0	0.7109375	12	256	0	0	7.568883593433995e-06	0.0007148599136858058	256	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P5_combined_context	3	8	2048	256	11	8	0.07407407407407407	1.0000216169631462	1.0031306888688147	0.003109071905668771	0.0026826722028333123	0.003555956154454718	0.3995487721677547	0.0224609375	0.0	-0.0224609375	-0.02880859375	-0.01611328125	7.038590157611326e-06	5.350053644093542e-05	0.1796875	0.0	0.8203125	12	256	0	0	1.946016741527501e-06	0.0010039557211940497	256	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P0_composition	4	16	2048	128	11	7	0.06481481481481481	1.0000216169631462	1.0006414803815429	0.0006198634183967027	-0.0004956892518990484	0.0015680332758870891	0.07965903499386455	0.0224609375	0.015625	-0.0068359375	-0.02490234375	0.017578125	2.1967490698308477e-07	5.6776734013651814e-05	0.375	0.0	0.625	12	128	1	3	0.0	0.0001852458710228655	128	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P2_assay_context	4	16	2048	128	11	7	0.06481481481481481	1.0000216169631462	1.001945535059719	0.0019239180965731316	0.0011589025062812266	0.00264105682715933	0.2472439160495289	0.0224609375	0.0	-0.0224609375	-0.029296875	-0.01611328125	4.633877019306302e-06	5.6776734013651814e-05	0.296875	0.0	0.703125	12	128	0	0	3.924431507540405e-06	0.0005997149898648857	128	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P5_combined_context	4	16	2048	128	11	7	0.06481481481481481	1.0000216169631462	1.0029882792462788	0.002966662283132861	0.002308550162257849	0.0036090761360569137	0.38124762264292344	0.0224609375	0.0	-0.0224609375	-0.02880859375	-0.01611328125	7.4801340165570964e-06	5.6776734013651814e-05	0.203125	0.0	0.796875	12	128	0	0	2.9481532328734517e-06	0.0006921725710296034	128	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
