selector_source_pool	cross_evaluator_pool	selector_model	selector_bits	candidates_per_payload	sampled_payloads	base_fixed_payload_bits	payload_bits_after_selection	payload_bits_per_variable_nt	own_model_mean_gain_vs_fiber	own_model_gain_minimum	own_model_gain_q25	own_model_gain_median	own_model_gain_q75	own_model_gain_maximum	own_gain_ci_2p5	own_gain_ci_97p5	cross_model_mean_gain_vs_fiber	cross_model_gain_minimum	cross_model_gain_q25	cross_model_gain_median	cross_model_gain_q75	cross_model_gain_maximum	cross_gain_ci_2p5	cross_gain_ci_97p5	own_model_fiber_score_variance_mean	own_model_fiber_score_variance_median	cross_model_fiber_score_variance_mean	cross_model_fiber_score_variance_median	own_model_negative_gain_fraction	own_model_zero_gain_fraction	fibers_improved_in_own_model_fraction	cross_model_negative_gain_fraction	cross_model_zero_gain_fraction	fibers_improved_in_cross_model_fraction	score_decimal_places	choices_changed_by_quantization	quantized_extremum_tie_fibers	minimum_raw_top_gap	selected_roundtrip_failures	inference_boundary
GCall	GCfix	P2_assay_context	3	8	512	213	210	1.9444444444444444	0.00243386872421602	0.0007176888976683227	0.0019290918209562413	0.002393913278523452	0.0028921030340564036	0.0057330688630914395	0.002365158555843024	0.0024983046197043324	0.0025725251440998397	-0.0004095638677532598	0.001937422747012807	0.002491323674249979	0.0032357207605183125	0.005795541410448357	0.0024891526308858337	0.002652643773583628	3.2126093189931377e-06	2.8647129437096958e-06	4.042959532295352e-06	3.501606141556186e-06	0.0	0.0	1.0	0.001953125	0.0	0.998046875	12	0	0	2.9323379724388587e-08	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	3	8	512	213	210	1.9444444444444444	0.003090803185464935	0.0006483509715349278	0.002332920117442683	0.002966870798859489	0.003710547734247671	0.011125776423418943	0.002997600253626671	0.0031858987631082	0.00323078436669775	0.00013941058829636255	0.002350115979810302	0.003023825592544882	0.003992462459385587	0.010785858562296524	0.0031232130223438643	0.003343203523598168	6.52902748499792e-06	4.4298178054724754e-06	7.375693143412957e-06	5.288935203790561e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	1.988267406938249e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	4	16	512	213	209	1.9351851851851851	0.0008826536680410304	0.00028949183147741753	0.0007213853372057266	0.0008668404064535729	0.0010263180003634853	0.0016436522672278464	0.0008628003508019377	0.000901164777256946	0.0006322218751082032	-0.0003565050931305658	0.0003937103017043475	0.0006045439640545713	0.0008620999586931022	0.001737160085032552	0.0006015275998468402	0.0006616406559287516	2.2193016066410679e-07	2.1562201998000715e-07	2.2203825246260065e-07	2.1293605459405844e-07	0.0	0.0	1.0	0.01953125	0.0	0.98046875	12	0	1	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	4	16	512	213	209	1.9351851851851851	0.0028098688134376047	0.0008451217325891047	0.002360318053085203	0.002810943303854785	0.003231574696737738	0.004780168806665319	0.0027555888971360107	0.0028633902974659017	0.0029979530478899223	0.0002942191478778611	0.002439928684340509	0.003013137099668939	0.0035502642228001924	0.0059573728970615525	0.002927846391921469	0.0030677362303249242	3.2391080868631994e-06	3.09370835719329e-06	4.0958297706186864e-06	3.824389309254966e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	6.383076858185177e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	4	16	512	213	209	1.9351851851851851	0.0036423481227767897	0.001764984188010299	0.0030076297974496735	0.003624508642992852	0.004181597078395827	0.006978296047693844	0.0035652716904462462	0.003724350695545583	0.0037868929443107303	0.0007782223501797692	0.003019193573585127	0.0037713702382510816	0.004507509282428046	0.007102430298310924	0.003691515390255388	0.0038804078389038706	6.0831305791956726e-06	5.165276992210437e-06	6.944932513069216e-06	5.909725068551709e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	3.092936111670497e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	5	32	512	213	208	1.9259259259259258	0.0010410827037958743	0.0006034337373539422	0.0008957812552859157	0.0010244771395401808	0.0011678553075384068	0.0017414100927157783	0.0010225897145759307	0.0010594785456078913	0.0007846678568864617	-8.232442348488078e-05	0.0005460506837008106	0.0007426982621012157	0.0010135342271905823	0.0017835209573470179	0.0007556856148774935	0.0008135958968702526	2.3448925436226702e-07	2.2948946340955476e-07	2.3418761646562475e-07	2.3427555463417955e-07	0.0	0.0	1.0	0.001953125	0.0	0.998046875	12	0	2	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	5	32	512	213	208	1.9259259259259258	0.0032696967030026716	0.002017155872962473	0.00287688575473638	0.0032153055201686875	0.0036381343046807957	0.0059016220051133494	0.0032212777178577214	0.0033205973649616926	0.003405854674436391	0.0009230299076131709	0.002869376329252271	0.003364185241760631	0.003870694497775884	0.00737206386003697	0.0033425752746528764	0.003471418755084205	3.4096407634841027e-06	3.3197653479296667e-06	4.2967992781845086e-06	4.1596679654877325e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	4.75602706995204e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	5	32	512	213	208	1.9259259259259258	0.0042290437098115394	0.002198975041636686	0.0036615646183293937	0.004188573265142104	0.004739176464837347	0.006581636770928823	0.004164062534468789	0.004298977136869723	0.004421042551647574	0.0015807995323910973	0.003726092960091132	0.004396869583352669	0.005095968931753014	0.00827225703115464	0.004332739557902998	0.004505551647819058	6.849367441700116e-06	5.753437900597687e-06	7.591992739468365e-06	6.55172883910364e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	1.0765363513964843e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	6	64	512	213	207	1.9166666666666667	0.0011742483365621706	0.0007056922436525781	0.001043107910682628	0.0011567638574908612	0.0012966680973778288	0.001923934340914757	0.0011563983142711212	0.0011915348338790615	0.0009346986526183871	0.00024337311464983635	0.0006925156229090901	0.0009319858055671926	0.0011330421735727958	0.0019656570417871944	0.0009071028821872707	0.0009607052562259213	2.3887090766788387e-07	2.3974806974852513e-07	2.390375358711416e-07	2.389111382187559e-07	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	3.9671935581075957e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	6	64	512	213	207	1.9166666666666667	0.00361051794578265	0.0022778851387301735	0.0032594888937350353	0.003570956816409121	0.003950536613027633	0.0050388670816203796	0.0035675399550317236	0.003650089091537671	0.0037590265761045876	0.001316969572960236	0.0032609666419421424	0.0037514392465745616	0.004186433200135342	0.006235631337883074	0.0036949722267975577	0.003821528960521175	3.513366919456499e-06	3.4531037964034586e-06	4.399434875668597e-06	4.299913034421162e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	2.8088521375480013e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	6	64	512	213	207	1.9166666666666667	0.004720180206624153	0.0027654195355690803	0.0042186203390300325	0.004691806971348744	0.005169195261250342	0.0069410003935606035	0.004660990553191871	0.004782187195657418	0.0048738456248778326	0.0025125517524400287	0.004288056130715812	0.004845995308873419	0.005466619195470285	0.007261699402106969	0.004800508590185842	0.004949189529572688	6.687337784151275e-06	6.016114748969924e-06	7.494298841600826e-06	6.9257804544861676e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	1.892212466714227e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P0_composition	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P2_assay_context	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P5_combined_context	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
