source_pool	source_reference	source_sequences	generated_sequences	feature	source_min	source_mean	source_sd_population	source_q01	source_q05	source_median	source_q95	source_q99	source_max	generated_min	generated_mean	generated_sd_population	generated_q01	generated_q05	generated_median	generated_q95	generated_q99	generated_max	generated_within_source_minmax_fraction	generated_within_source_q01_q99_fraction	generated_minus_source_standardized_mean_difference	two_sample_ks_statistic	two_sample_ks_p_value_descriptive_only	wasserstein_distance_source_units	p5_standardized_coefficient	p5_active_feature
GCall	codec_eligible_training_subset	2521	64646	left_boundary_vs_right_adapter_complement_4mers	0.0	1.5783419278064261	1.4768848973777313	0.0	0.0	1.0	4.0	6.0	9.0	0.0	1.5610091885035424	1.4795310590929638	0.0	0.0	1.0	4.0	6.0	12.0	0.9998298425269931	0.993982613000031	-0.0117255031871168	0.009537893635423345	0.9785994831932987	0.030327490824437364	-8.78660055868375e-05	True
GCall	codec_eligible_training_subset	2521	64646	left_boundary_vs_right_adapter_max_rc_tract	2.0	4.076160253867513	0.9297791046064265	3.0	3.0	4.0	6.0	7.0	10.0	2.0	4.044565789066609	0.9029800919531973	3.0	3.0	4.0	6.0	7.0	12.0	0.9999690622776352	0.9937815178046592	-0.034473800819137264	0.009700387241862507	0.9747578505395569	0.03225520177426659	0.00010307744225869232	True
GCall	codec_eligible_training_subset	2521	64646	max_homopolymer	2.0	2.9869099563665213	0.11366043458984487	2.0	3.0	3.0	3.0	3.0	3.0	2.0	2.986805061411379	0.11410886111193827	2.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	-0.0009210613882730577	0.00010489495514232755	1.0	0.00010489495514232755	-9.473191486959939e-06	True
GCall	codec_eligible_training_subset	2521	64646	right_boundary_vs_left_adapter_complement_4mers	0.0	1.445854819516065	1.4811869527236123	0.0	0.0	1.0	4.0	6.0	10.0	0.0	1.469851189555425	1.496268600687603	0.0	0.0	1.0	4.0	6.0	12.0	0.9999381245552702	0.9929152615784426	0.01611850237666418	0.013097750452060741	0.7943826890503553	0.027317947488168015	-0.0003019975599357309	True
GCall	codec_eligible_training_subset	2521	64646	right_boundary_vs_left_adapter_max_rc_tract	2.0	3.965489884966283	0.9013185325846298	3.0	3.0	4.0	6.0	6.800000000000182	9.0	2.0	3.9783126566222196	0.9241371926587447	3.0	3.0	4.0	6.0	7.0	12.0	0.9998607802493581	0.9764718621415092	0.014047746846210298	0.007987325915945753	0.9975088050266565	0.018011399538251018	0.0004450832128738778	True
GCall	codec_eligible_training_subset	2521	64646	right_boundary_vs_right_adapter_complement_4mers	0.0	1.5410551368504561	1.43620118957482	0.0	0.0	1.0	4.0	6.0	9.0	0.0	1.5588280790768183	1.475651766589411	0.0	0.0	1.0	4.0	6.0	12.0	0.9998143736658107	0.9939052686941188	0.012206187301438522	0.008877929798319584	0.9901131532533777	0.0347989857384951	-0.0004801994963249397	True
GCall	codec_eligible_training_subset	2521	64646	right_boundary_vs_right_adapter_max_rc_tract	2.0	4.0289567631892105	0.8651400677838478	3.0	3.0	4.0	6.0	7.0	8.0	2.0	4.0465303344367785	0.9048234720013341	3.0	3.0	4.0	6.0	7.0	12.0	0.9993503078303375	0.9935185471645578	0.019852562609602095	0.015306263263965447	0.61496612958017	0.036049232973358186	-0.0003826733030119418	True
GCall	codec_eligible_training_subset	2521	64646	variable_candidate_pairs	5.0	25.183657278857595	9.29395581592709	8.0	12.0	24.0	42.0	53.80000000000018	75.0	1.0	24.977338118367726	9.150781917813465	9.0	12.0	24.0	42.0	52.0	101.0	0.9992420258020605	0.9869906877455682	-0.022370927471754745	0.014720453011705104	0.6635850101067466	0.25197207117669074	-0.006115964105862175	True
GCall	codec_eligible_training_subset	2521	64646	variable_longest_stem	4.0	5.81237604125347	0.9380353407420827	4.0	5.0	6.0	7.0	9.0	11.0	4.0	5.789793645391827	0.9421968108725615	4.0	5.0	6.0	7.0	9.0	13.0	0.9997679670822635	0.9971227918200662	-0.024020800337411552	0.01793608624901938	0.4112153716388538	0.026295229345532807	0.00011111560088959428	True
GCall	codec_eligible_training_subset	2521	64646	variable_weighted_pairs	20.0	108.87941293137644	44.086367857121715	32.0	49.0	103.0	187.0	251.0	424.0	4.0	107.87974507316771	43.50655894954335	36.0	49.0	102.0	187.0	243.0	564.0	0.9993657766915199	0.987021625467933	-0.022824810054896377	0.017653983554508257	0.4312119956145358	1.2643968065152718	0.007476146356403951	True
