mapping_index	namespace_sha256	membership_sha256	ordered_library_sha256	source_model	selector_bits	library_sequences	eligible_sequences	fibers	fullcontext_gain	assaycontext_gain	released_cnn_gain	fullcontext_minus_assaycontext	fullcontext_minus_released_cnn	fullcontext_negative_gain_fraction	fullcontext_zero_gain_fraction	fullcontext_positive_gain_fraction	fullcontext_fiber_score_variance_mean	fullcontext_fiber_outcome_variance_mean	fullcontext_choices_changed_by_quantization	fullcontext_quantized_extremum_tie_fibers	fullcontext_minimum_raw_top_gap	mapping_role
5	099e5f91d7e6f07371c9809b48f76ab0af0b190a2b156f8b065ea78c5fb37130	e74d89c77eb298753c60829038591e82c5575a1200841088b0387cc7c660dd2e	0499f96b26c81055a28bdf96d83a2943c16248f2c5e2937342b1009ed3f7c6f7	GCfix	4	2048	2053	128	0.00359919309809537	0.002002728256426626	0.001606476282737311	0.001596464841668744	0.001992716815358059	0.1796875	0.0	0.8203125	6.689780898827559e-06	0.00010246935413107808	0	0	2.920227209823878e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
6	18d8b205265925401ec12ab08d25a92f7182ccefc1dd2468b7d49a5f6a89d71b	6376f996aa14a3a94d5d5a8a428921bd99adb242230ab1a195c9aded4ba3703e	907180a49a1646273045fde133f8e4bff490c0528a4ff6148f5020307bd9c906	GCall	2	2048	2053	512	0.0024815514343047747	0.0019139763310730786	0.0013686635633669124	0.000567575103231696	0.0011128878709378623	0.326171875	0.0	0.673828125	4.875558156359148e-06	8.400533183859133e-05	0	0	1.6833449500985864e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
6	18d8b205265925401ec12ab08d25a92f7182ccefc1dd2468b7d49a5f6a89d71b	6376f996aa14a3a94d5d5a8a428921bd99adb242230ab1a195c9aded4ba3703e	907180a49a1646273045fde133f8e4bff490c0528a4ff6148f5020307bd9c906	GCall	4	2048	2053	128	0.003608154443032208	0.002011239561022277	0.0014290265786193945	0.0015969148820099309	0.0021791278644128134	0.171875	0.0	0.828125	6.063587531795176e-06	0.00010472264760894216	0	0	8.600101009115235e-08	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
6	18d8b205265925401ec12ab08d25a92f7182ccefc1dd2468b7d49a5f6a89d71b	6376f996aa14a3a94d5d5a8a428921bd99adb242230ab1a195c9aded4ba3703e	907180a49a1646273045fde133f8e4bff490c0528a4ff6148f5020307bd9c906	GCfix	2	2048	2053	512	0.0023493679511017284	0.0018963580201256931	0.0016003951319559255	0.0004530099309760353	0.0007489728191458029	0.33203125	0.0	0.66796875	5.516113366435815e-06	8.400533183859133e-05	0	0	2.0569759007216248e-07	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
6	18d8b205265925401ec12ab08d25a92f7182ccefc1dd2468b7d49a5f6a89d71b	6376f996aa14a3a94d5d5a8a428921bd99adb242230ab1a195c9aded4ba3703e	907180a49a1646273045fde133f8e4bff490c0528a4ff6148f5020307bd9c906	GCfix	4	2048	2053	128	0.0032675229997846224	0.001872566451068731	0.0014515201832671068	0.0013949565487158914	0.0018160028165175156	0.234375	0.0	0.765625	6.811402703082447e-06	0.00010472264760894216	0	0	7.520601239985325e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
7	118644696de398c1016d61b7cc4c34f05a251dc276609367f0d23e49c162a233	48478ab31f6b6d9d6b521a7594279c58728255869aee0d41ac1e26f3930142a6	dad01782caa732177ee1e270c6f6f1256e0ab7d7b0356dc068909b627d2a888e	GCall	2	2048	2053	512	0.0025153520329784726	0.0017956460393090481	0.001394074769560509	0.0007197059936694243	0.0011212772634179634	0.326171875	0.0	0.673828125	4.705833362068546e-06	8.321358860924921e-05	0	0	2.248080210209835e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
7	118644696de398c1016d61b7cc4c34f05a251dc276609367f0d23e49c162a233	48478ab31f6b6d9d6b521a7594279c58728255869aee0d41ac1e26f3930142a6	dad01782caa732177ee1e270c6f6f1256e0ab7d7b0356dc068909b627d2a888e	GCall	4	2048	2053	128	0.0036353494006627317	0.00286044722395779	0.0018849323755537667	0.0007749021767049415	0.001750417025108965	0.2109375	0.0	0.7890625	6.027356826195759e-06	0.00010389610195422846	0	0	2.248080210209835e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
7	118644696de398c1016d61b7cc4c34f05a251dc276609367f0d23e49c162a233	48478ab31f6b6d9d6b521a7594279c58728255869aee0d41ac1e26f3930142a6	dad01782caa732177ee1e270c6f6f1256e0ab7d7b0356dc068909b627d2a888e	GCfix	2	2048	2053	512	0.0024153809163857793	0.0016858439755636765	0.0017093829871819629	0.0007295369408221028	0.0007059979292038164	0.3125	0.0	0.6875	5.249900131377611e-06	8.321358860924921e-05	0	0	3.5288411992517865e-07	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
7	118644696de398c1016d61b7cc4c34f05a251dc276609367f0d23e49c162a233	48478ab31f6b6d9d6b521a7594279c58728255869aee0d41ac1e26f3930142a6	dad01782caa732177ee1e270c6f6f1256e0ab7d7b0356dc068909b627d2a888e	GCfix	4	2048	2053	128	0.0032715438804927577	0.002345582750486832	0.0015613056652152473	0.0009259611300059256	0.0017102382152775104	0.2109375	0.0	0.7890625	6.750411029644096e-06	0.00010389610195422846	0	0	3.0866266100826323e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
8	edfefbaec31f9a73745e95a1b8f3e230b5d863666dbe44e21b3d0a29f7347750	1c0a10a023ca75964ed8115a7e215603edfdf698925386967e8e8f6d76c3cb61	4705769a19cd750e2b3a2a8f645458885776ee0f0234809cfe6cea223c7f688c	GCall	2	2048	2053	512	0.002725627440369492	0.0017349751727753085	0.0013753024385382109	0.0009906522675941839	0.0013503250018312815	0.279296875	0.0	0.720703125	4.7933601838649195e-06	8.352267311673264e-05	0	0	2.51644204007917e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
8	edfefbaec31f9a73745e95a1b8f3e230b5d863666dbe44e21b3d0a29f7347750	1c0a10a023ca75964ed8115a7e215603edfdf698925386967e8e8f6d76c3cb61	4705769a19cd750e2b3a2a8f645458885776ee0f0234809cfe6cea223c7f688c	GCall	4	2048	2053	128	0.003998001763022011	0.002171311791732013	0.0015017528553494487	0.0018266899712899983	0.0024962489076725625	0.1328125	0.0	0.8671875	6.008370520318248e-06	0.00010299581512704926	0	0	2.155079459997822e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
8	edfefbaec31f9a73745e95a1b8f3e230b5d863666dbe44e21b3d0a29f7347750	1c0a10a023ca75964ed8115a7e215603edfdf698925386967e8e8f6d76c3cb61	4705769a19cd750e2b3a2a8f645458885776ee0f0234809cfe6cea223c7f688c	GCfix	2	2048	2053	512	0.0027569344840161925	0.0013697008337543355	0.0015497107470557586	0.0013872336502618568	0.0012072237369604338	0.287109375	0.0	0.712890625	5.392896275844929e-06	8.352267311673264e-05	0	0	1.742463230147706e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
8	edfefbaec31f9a73745e95a1b8f3e230b5d863666dbe44e21b3d0a29f7347750	1c0a10a023ca75964ed8115a7e215603edfdf698925386967e8e8f6d76c3cb61	4705769a19cd750e2b3a2a8f645458885776ee0f0234809cfe6cea223c7f688c	GCfix	4	2048	2053	128	0.0031626408179882964	0.0023240689964542224	0.0012730387704285298	0.000838571821534074	0.0018896020475597667	0.21875	0.0	0.78125	6.71107446021701e-06	0.00010299581512704926	0	0	2.1749608589916036e-05	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
9	aa98707c1427b9d619fce1f52a3f791b31dbf903aecd86bf75966ad7056f618f	e80f52a56778e12554fa40ade3486039375b7146654136a75f232c510c9328d2	d429f6b2d015f36785d89f3c89aac3c2e6924bd35011487c7054b803fdaeb8c0	GCall	2	2048	2053	512	0.002659116539498808	0.0016459680437059148	0.0014737703788087627	0.0010131484957928932	0.0011853461606900454	0.30859375	0.0	0.69140625	4.740216028277427e-06	8.247373796380794e-05	0	0	3.56061639950056e-07	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
9	aa98707c1427b9d619fce1f52a3f791b31dbf903aecd86bf75966ad7056f618f	e80f52a56778e12554fa40ade3486039375b7146654136a75f232c510c9328d2	d429f6b2d015f36785d89f3c89aac3c2e6924bd35011487c7054b803fdaeb8c0	GCall	4	2048	2053	128	0.003805359180359012	0.0020855191922225583	0.0017534638929394579	0.0017198399881364537	0.002051895287419554	0.1953125	0.0	0.8046875	6.052173929691833e-06	0.00010405440192573338	0	0	1.2806716619850889e-05	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
9	aa98707c1427b9d619fce1f52a3f791b31dbf903aecd86bf75966ad7056f618f	e80f52a56778e12554fa40ade3486039375b7146654136a75f232c510c9328d2	d429f6b2d015f36785d89f3c89aac3c2e6924bd35011487c7054b803fdaeb8c0	GCfix	2	2048	2053	512	0.002557554109732082	0.0015910310084035575	0.0014686868344173077	0.0009665231013285245	0.0010888672753147743	0.318359375	0.0	0.681640625	5.2587461509524505e-06	8.247373796380794e-05	0	0	2.8920971799628603e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
9	aa98707c1427b9d619fce1f52a3f791b31dbf903aecd86bf75966ad7056f618f	e80f52a56778e12554fa40ade3486039375b7146654136a75f232c510c9328d2	d429f6b2d015f36785d89f3c89aac3c2e6924bd35011487c7054b803fdaeb8c0	GCfix	4	2048	2053	128	0.0035471704167832786	0.001678141334622193	0.0006790181672186243	0.0018690290821610856	0.002868152249564654	0.2421875	0.0	0.7578125	6.75942802834799e-06	0.00010405440192573338	0	0	2.486126888978646e-05	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
10	a44dc2c4591eed31724cfef02b23927fe2d23ad0c522c8338114af6aac890ab8	cc1bd33148f0a3df100d78515f50230de8b46ed0ecf2e23b0453a2ff2a3a881f	7e46f8a0140573a2f11e12cc1d6a5024f36c2514ef727ecc7e7e6d8ea8a0be5e	GCall	2	2048	2053	512	0.002560627595830363	0.0015141815878210814	0.001520342673438202	0.0010464460080092817	0.0010402849223921612	0.302734375	0.0	0.697265625	4.7381036133976835e-06	8.172347854748105e-05	0	0	2.493794890146006e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
10	a44dc2c4591eed31724cfef02b23927fe2d23ad0c522c8338114af6aac890ab8	cc1bd33148f0a3df100d78515f50230de8b46ed0ecf2e23b0453a2ff2a3a881f	7e46f8a0140573a2f11e12cc1d6a5024f36c2514ef727ecc7e7e6d8ea8a0be5e	GCall	4	2048	2053	128	0.0036897395701450597	0.001716583919448328	0.0015951069477817105	0.0019731556506967316	0.002094632622363349	0.1640625	0.0	0.8359375	6.006558158066677e-06	0.0001029305347232119	0	0	8.298174260179536e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
10	a44dc2c4591eed31724cfef02b23927fe2d23ad0c522c8338114af6aac890ab8	cc1bd33148f0a3df100d78515f50230de8b46ed0ecf2e23b0453a2ff2a3a881f	7e46f8a0140573a2f11e12cc1d6a5024f36c2514ef727ecc7e7e6d8ea8a0be5e	GCfix	2	2048	2053	512	0.002332048078599559	0.0014898006235092292	0.0016085998745736362	0.0008422474550903295	0.0007234482040259225	0.326171875	0.0	0.673828125	5.295663031795999e-06	8.172347854748105e-05	0	0	4.185596888972576e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
