sample_id	sequence_sha256	eff_Taq	external_low_efficiency	GCall 2perc	GCfix 2perc	GCall__P2_assay_context	GCall__P5_combined_context	GCfix__P2_assay_context	GCfix__P5_combined_context
Seq_anonymized_000877	857ede6a603ac29d3e6d7735a8c01bf790637ec77e4c01796b5328d6106df4b5	1.00334082245229	0	0.10846391	0.10512271	1.00293637714965	0.999498717919692	1.00306401570067	0.999710092833978
Seq_anonymized_005372	8595c87f064cc32faddc20b19344baa1d948d20d44424a88135a00fc49a4889e	1.01096662466424	0	0.11639392	0.041961923	1.00230307338051	0.998534913897742	1.00196710107622	0.998447980038563
Seq_anonymized_006765	85a8e162e66595bad57ccb14e4d8dd010d4f0fc4ccfdb94e0db993633e6f3026	1.00137925897509	0	0.08707296	0.02361782	1.00300297915432	1.0028424493321	1.00424161086202	1.00418580872894
Seq_anonymized_001987	85af4c6451b9671357a71d49c911f90d93a4c31d5848446fc42be951c3f28839	0.999045896954804	0	0.06565459	0.038269274	0.997767807181481	0.998075551148201	0.997811912538632	0.998094049595196
Seq_anonymized_007321	85e253e45d1e1c69228b2b0408d7dc7cf51ee52e81b9c549741a9d716725fece	0.985753223851414	0	0.13902093	0.12773374	0.997660593290658	0.994092247301229	0.997556139888783	0.994318511919584
Seq_anonymized_000935	85fcdb0128620322ea14fc868274fc13cc734df831b63f42e2bb9f9b1a3b0d12	1.00575006924283	0	0.09599282	0.053211104	0.996865041143683	0.997631176937946	0.997046617515458	0.998098089935284
Seq_anonymized_005979	862569d42563627269145722dc2e73aba1b16e47d90f232c140cf6b1431085bf	1.00565644643332	0	0.21055293	0.032020245	0.99847724184788	0.999235046728766	0.998184357904253	0.998844947585756
Seq_anonymized_006365	863baee33d2937265547790d2ac18abbd4010f6441a17925d4dbbda4f7e3cbfd	0.99729212507393	0	0.04345208	0.032814223	1.00244396337558	1.00125448281404	1.00331668132194	1.00222915095212
Seq_anonymized_002535	86445a2c66810c669966d81a636737c902c149344e6e1b545942be46bb105c4e	1.00342448688495	0	0.042891614	0.05248044	1.00219159203731	1.00272815693864	1.002479434252	1.00287671701433
Seq_anonymized_009802	864646e308a66e400b3c3862f1352d808e2ac40a268d65fe9d04863813dbddc9	1.0072571411319	0	0.22303821	0.10566866	0.999163183837495	1.00112499584094	0.998375841891878	1.00053439113408
Seq_anonymized_003953	865f33f88434a42cb47684f6a90e1127aaceaf70b3c0cb3e83a73e27b3df10e2	1.00564641763583	0	0.05613809	0.011918839	0.997803330378959	0.99836589419446	0.9970961597153	0.997619793019169
Seq_anonymized_011382	868a8e92cc1a4a600858a131f4be3aed44241d50238230ec58d98583c5e20cb0	1.00538679570214	0	0.07354245	0.046166718	0.999650929310277	1.00190137844138	1.00022463487724	1.00274134874266
Seq_anonymized_009299	86cd2e2b81d73821e21977ece6337fc412180a2b64e22902a292b210e4a40b66	1.00056496671949	0	0.05149896	0.06542143	0.998816969806546	0.997679758400922	0.998987728722054	0.997916659933717
Seq_anonymized_010682	872ac5081d5fa227760fa09edb526a596760bf1c21c24e5c4365306e80d95a6b	0.996435199776339	0	0.09432299	0.025260706	0.999115032791991	0.999038633318915	0.999460023726316	0.999428915205677
Seq_anonymized_000121	87362fe64de168e84d5f746da4d9c95b7ae06c3579b7d602d06b39196c7dec73	1.00464862849541	0	0.074761055	0.12949224	0.999899551534995	0.999752056048587	0.999878010893723	0.999705523187185
Seq_anonymized_006178	8753929a30fbb33373f596abc9a8d3243c38ff09cf3ae7ffcd1a37b0944f2186	1.00223609109518	0	0.081044905	0.06851625	1.0000473613705	0.999916542903106	0.999458585623732	0.99914367693609
Seq_anonymized_010484	879c778b08d29b55c928384d3f94a37cdde881972616149595e719b58a3d1fc0	1.00254646773425	0	0.05543537	0.04202029	0.999600718723234	1.00015926359081	0.999612290191395	1.00012888138061
Seq_anonymized_001156	87f378c036a92c65715009384a67f4c810b89e03e36348a07743fe47b877b18a	1.00362079498149	0	0.03847998	0.014691371	1.00162584740717	1.00203370783842	1.00154777220943	1.00176111863513
Seq_anonymized_003966	87f73713bd795bb2b8915ddbebb04ca026bf6abf3aedcadbcd6b0e6b8485b6bd	1.00592886860885	0	0.14701024	0.042064548	1.00117156090844	1.00182008617197	1.00073805699129	1.00138725489685
Seq_anonymized_007435	8831014de83bce9a2e843a5f45cdd3263c0e6afb951dd20d540cb3a4d378135b	1.00343677869596	0	0.091778435	0.12256495	1.0014555788133	1.00152661246136	1.00175088486407	1.00175784524077
Seq_anonymized_003324	887f5af3d2dac3d1cba62d5517edcebb549b3462106e5f955827dd835ba73e8b	1.00305098602062	0	0.05364183	0.0377729	1.0018413297513	1.00259504835646	1.0026166651176	1.00333169728629
Seq_anonymized_009335	88c7e47d95a6a136b8c0bfab97ac90e28fdfdf47b6ca65806c0f3312c6a6195b	0.996001016010562	0	0.102369696	0.032935396	0.998290085950641	0.998028532911645	0.999129339707719	0.998944333207468
Seq_anonymized_007174	88e215749811a451fae010b5701ad59233b3d539a99d6439f1ea0194a8d7bab2	0.997292519186297	0	0.0854832	0.029415702	1.00076616293801	1.00112473219069	1.00065851471978	1.00099014614936
Seq_anonymized_002940	89092f76c6bac536e29797e62b77a389ef599a1e61c0a5f2c7e947fec0acd9b7	0.993411620962196	0	0.4536254	0.26570094	1.00051129787755	1.00039145053237	1.00098524466758	1.00080735953574
Seq_anonymized_006867	89652de7ee03f62bb3e5f8b2fc089e594aab0bb267813602ec021447e0981155	0.997211417405175	0	0.0728995	0.16348422	0.99944537941357	0.998931780270596	0.999655022569464	0.999112946651558
Seq_anonymized_005145	8979e8161e638ebe2264f527241781e13700194d7e06560da1cec08fa0c12b11	1.00734592112258	0	0.07216004	0.021019386	1.00134027040595	1.00031417337229	1.00187238492151	1.00080404430895
