dataset	analysis	pool_or_direction	endpoint	model	repeat	fold	feature	standardized_coefficient	selected_regularization
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	4	candidate_pairs	-0.019768216258254787	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	4	gc_deviation_from_0p5	-0.017069838664079663	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	4	longest_stem	-0.0022472459021659046	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	4	max_homopolymer	0.004575025535141521	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	0	candidate_pairs	-0.020204928429573443	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	0	gc_deviation_from_0p5	-0.016049651591738073	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	0	longest_stem	-0.0034021565304579466	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	0	max_homopolymer	0.004616869184284077	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	1	candidate_pairs	-0.024306125740737407	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	1	gc_deviation_from_0p5	-0.016978943274748852	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	1	longest_stem	0.0021316495864647685	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	1	max_homopolymer	0.00607300736431682	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	2	candidate_pairs	-0.016690189428037773	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	2	gc_deviation_from_0p5	-0.020788370739858317	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	2	longest_stem	-0.0010921319324908038	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	2	max_homopolymer	0.004316990922968327	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	3	candidate_pairs	-0.015096363695283211	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	3	gc_deviation_from_0p5	-0.022766507782578528	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	3	longest_stem	-0.003153142702514068	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	3	max_homopolymer	0.00403173417317316	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	4	candidate_pairs	-0.02604912184543539	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	4	gc_deviation_from_0p5	-0.016767661256879077	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	4	longest_stem	0.003386479163971256	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	1	4	max_homopolymer	0.007467610546896613	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	0	candidate_pairs	-0.01812970770987947	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	0	gc_deviation_from_0p5	-0.018818777275293797	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	0	longest_stem	-0.0007754791656216177	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	0	max_homopolymer	0.0062115825221707435	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	1	candidate_pairs	-0.01971591841748612	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	1	gc_deviation_from_0p5	-0.018461343637564517	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	1	longest_stem	-0.0010160908248303979	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	1	max_homopolymer	0.0049266750262004656	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	2	candidate_pairs	-0.020216683498813368	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	2	gc_deviation_from_0p5	-0.017579066242050898	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	2	longest_stem	0.001563999758768465	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	2	max_homopolymer	0.004183967058895391	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	3	candidate_pairs	-0.019333050829509202	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	3	gc_deviation_from_0p5	-0.01665999879693301	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	3	longest_stem	-0.0008833068723834618	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	3	max_homopolymer	0.007447439279730065	1000.0
