dataset	evaluation	pool_or_direction	endpoint	model	retention_fraction	achieved_retention_fraction	selected_n	n_sequences	pool_mean_outcome	selected_mean_outcome	outcome_gain_vs_pool	standardized_gain_vs_pool	outcome_gain_ci_2p5	outcome_gain_ci_97p5	pool_adverse_event_rate	pool_adverse_events	selected_adverse_event_rate	selected_adverse_events	selected_to_pool_event_rate_ratio	event_rate_change_vs_pool	event_change_ci_2p5	event_change_ci_97p5	finite_pool_penalty_bits_per_sequence	finite_pool_penalty_bits_per_nt	rate_boundary
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	0.25	0.25	3118	12472	5.410892951186819	5.481050231514432	0.07015728032761359	0.03806761696048798	0.016345442402106957	0.12684582463379676	0.0286241180243746	357	0.025657472738935216	80	0.896358543417367	-0.0029666452854393843	-0.007807983747539368	0.0019092864389339147	2.0	0.0196078431372549	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	F0_frozen_low_proxy	0.25	0.25	3118	12472	5.410892951186819	5.4859994833755605	0.07510653218874186	0.040753100536969455	0.021075032797068793	0.13221321917269763	0.0286241180243746	357	0.023412443874278384	73	0.8179271708683473	-0.005211674150096216	-0.010192890707146183	-0.00047512198363151994	2.0	0.0196078431372549	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D0_composition	0.5	0.5	6236	12472	5.410892951186819	5.398997723921585	-0.011895227265233288	-0.006454397221162301	-0.045846609042463626	0.02162503746844956	0.0286241180243746	357	0.033033996151379086	206	1.1540616246498598	0.004409878127004486	0.0015876666062195498	0.007330754674926682	1.0	0.00980392156862745	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D1_structural_rules	0.5	0.5	6236	12472	5.410892951186819	5.4785753879709755	0.06768243678415686	0.036724757094633596	0.035466377988013775	0.09921137528309242	0.0286241180243746	357	0.02549711353431687	159	0.8907563025210083	-0.0031270044900577297	-0.005971449735963518	-0.00018349143984217213	1.0	0.00980392156862745	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	0.5	0.5	6236	12472	5.410892951186819	5.471452575689384	0.06055962450256569	0.03285989106289905	0.02782237245256578	0.09345762994861288	0.0286241180243746	357	0.02581783194355356	161	0.9019607843137255	-0.002806286080821039	-0.005672998455183775	0.00016474473347450694	1.0	0.00980392156862745	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	F0_frozen_low_proxy	0.5	0.5	6236	12472	5.410892951186819	5.475109661336434	0.06421671014961561	0.034844240156157724	0.03142047891650255	0.09521363780763586	0.0286241180243746	357	0.02421423989737011	151	0.84593837535014	-0.004409878127004489	-0.007434372397055188	-0.0014405354376390666	1.0	0.00980392156862745	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0.1	0.1	1200	12000	-0.014602149380416667	-0.00017735106083333378	0.014424798319583333	0.06129989383057566	0.00026132567761092757	0.027071784897343878	0.0009166666666666666	11	0.0	0	0.0	-0.0009166666666666666	-0.00141875	-0.0004166666666666667	3.321928094887362	0.03075859347117928	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0.1	0.1	1200	12000	-0.014602149380416667	0.017366628494999994	0.03196877787541666	0.13585511881963724	0.019688988361968994	0.0449714356609331	0.0009166666666666666	11	0.0	0	0.0	-0.0009166666666666666	-0.00141875	-0.0004166666666666667	3.321928094887362	0.03075859347117928	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0.1	0.1	1200	12000	-0.014602149380416667	0.013956863220833332	0.02855901260125	0.12136491627657406	0.016410686240914175	0.0414156676325812	0.0009166666666666666	11	0.0	0	0.0	-0.0009166666666666666	-0.00141875	-0.0004166666666666667	3.321928094887362	0.03075859347117928	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	F0_frozen_low_proxy	0.1	0.1	1200	12000	-0.014602149380416667	0.016358665644999996	0.030960815025416664	0.13157166096315687	0.018969095960125006	0.04411217634268654	0.0009166666666666666	11	0.0	0	0.0	-0.0009166666666666666	-0.00141875	-0.0004166666666666667	3.321928094887362	0.03075859347117928	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0.25	0.25	3000	12000	-0.014602149380416667	-0.0015801503546666676	0.013021999025749999	0.055338531607517984	0.00594143176519072	0.020260388534212363	0.0009166666666666666	11	0.0003333333333333333	1	0.36363636363636365	-0.0005833333333333333	-0.00125	0.00014442988143429717	2.0	0.018518518518518517	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0.25	0.25	3000	12000	-0.014602149380416667	0.006431906901333331	0.021034056281749997	0.08938672058569706	0.0136167506682281	0.028587326485034717	0.0009166666666666666	11	0.0003333333333333333	1	0.36363636363636365	-0.0005833333333333333	-0.00125	0.00017053877640709698	2.0	0.018518518518518517	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0.25	0.25	3000	12000	-0.014602149380416667	0.006535596636999997	0.021137746017416664	0.08982736243363595	0.013780492435016464	0.02863879513313107	0.0009166666666666666	11	0.0003333333333333333	1	0.36363636363636365	-0.0005833333333333333	-0.00125	0.00017172550665661964	2.0	0.018518518518518517	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	F0_frozen_low_proxy	0.25	0.25	3000	12000	-0.014602149380416667	0.0062720283586666665	0.020874177739083333	0.0887072977283287	0.013632054340980379	0.028357812608144864	0.0009166666666666666	11	0.0016666666666666668	5	1.8181818181818183	0.0007500000000000001	-0.00025668511210535374	0.00197133433249313	2.0	0.018518518518518517	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0.5	0.5	6000	12000	-0.014602149380416667	-0.007589800368166667	0.00701234901225	0.02979981005143673	0.0029099538439197534	0.011363014831780613	0.0009166666666666666	11	0.0006666666666666666	4	0.7272727272727273	-0.00025	-0.0007601942892181299	0.00026083654989768194	1.0	0.009259259259259259	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0.5	0.5	6000	12000	-0.014602149380416667	-0.0007833902576666675	0.01381875912275	0.05872445827855029	0.009630992286634152	0.01821871049151159	0.0009166666666666666	11	0.001	6	1.090909090909091	8.333333333333337e-05	-0.00041722041110075315	0.0006381710407542737	1.0	0.009259259259259259	finite observed-pool retention cost; not full-language capacity
