dataset	evaluation	pool_or_direction	endpoint	comparison	baseline_model	extended_model	retention_fraction	delta_selected_mean	delta_selected_mean_ci_2p5	delta_selected_mean_ci_97p5	delta_selected_event_rate	delta_event_rate_ci_2p5	delta_event_rate_ci_97p5	n_sequences	bootstrap_unit
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.5	-0.0002784266716666658	-0.001034810580623903	0.0004212903092873341	0.0	-3.6902056165796686e-06	3.631500934655232e-06	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.1	-0.031557996247500775	-0.0705901509323242	0.005934921653352295	0.0008333333333333333	-0.002557873490292507	0.0047373913360879445	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.1	-0.012318669978332863	-0.049491666407006994	0.026139884713598096	0.0016666666666666666	-0.001651473914003577	0.005085178139052228	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.1	0.0027440951699988503	-0.004808109554071871	0.010511435005816916	0.0	-5.32359753169859e-05	5.667666325935393e-05	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.25	-0.005538782838000245	-0.024042120447867354	0.012891335771273585	0.000666666666666667	-0.0006408686114139574	0.002035990965168205	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.25	0.0076630771500001416	-0.011970942912292393	0.028130715418491544	-0.0006666666666666665	-0.0027840112288026915	0.0013503832316403808	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.25	-0.0027700255096672066	-0.00885769476871443	0.002297467115226358	0.0003333333333333335	-2.2311873782150097e-05	0.001027405581285702	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.5	0.003257042304332103	-0.0063858129171128425	0.012956933509906962	0.0003333333333333335	-0.00032100868686021786	0.0010024731984299383	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.5	-0.0001755875698341569	-0.009522214713813426	0.009494167644583742	0.0	-0.0008279632568619439	0.0008528598532409717	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.5	0.00046587867083225376	-0.003738869116116761	0.004731060367643902	0.0	-0.0004992250964106406	0.0004971248312480485	12000	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	assay_context_increment	P1_variable_structure	P2_assay_context	0.1	0.0008107355524971105	0.00038774690157191707	0.0012639837960935429	-0.0125	-0.020029052975040474	-0.00577885694282541	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	calibration_vs_frozen_proxy	F0_frozen_low_proxy	P5_combined_context	0.1	0.0035332607350103684	0.0031046974267576687	0.003999891418835441	-0.0175	-0.027353615673963834	-0.009066457476743594	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_amplicon_replacement_sensitivity	P3_assay_calibrated	P6_full_amplicon_replacement	0.1	0.0005991959184175055	0.0003030200187438159	0.0009440011623057448	-0.005833333333333333	-0.010430829828417254	-0.0017693588596993908	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_structural_context_increment	P3_assay_calibrated	P4_full_structural_context	0.1	0.00018762711888298256	-8.113401742722015e-05	0.00045235942798292254	-0.0024999999999999996	-0.006771400533267621	0.0016849843101524045	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_weighted_increment	P4_full_structural_context	P5_combined_context	0.1	0.0005929641648636519	0.000266388725324046	0.0009780625227020167	-0.0025000000000000005	-0.008089751832225834	0.002602188834596426	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	variable_structure_vs_composition	P0_composition	P1_variable_structure	0.1	-2.2980120476967514e-05	-0.0003322603720812778	0.00029650819010947885	0.0	-0.005757307737337831	0.006008608437778834	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	weighted_increment	P2_assay_context	P3_assay_calibrated	0.1	2.776803702753128e-06	-2.7789799750860267e-05	3.828326108559765e-05	0.0	-7.20212242138283e-05	6.484375763789998e-05	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	assay_context_increment	P1_variable_structure	P2_assay_context	0.25	0.0006449810858142335	0.0003878428543812318	0.0009123755565296319	-0.012	-0.01647261978675638	-0.007686997764343404	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	calibration_vs_frozen_proxy	F0_frozen_low_proxy	P5_combined_context	0.25	0.0031024515837534405	0.0028113462277793823	0.0034299429884672716	-0.019666666666666666	-0.025413088629325772	-0.014650461571002317	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_amplicon_replacement_sensitivity	P3_assay_calibrated	P6_full_amplicon_replacement	0.25	0.0004927266139593822	0.00032125905702644065	0.0006710224989949221	-0.0036666666666666666	-0.006425754846632873	-0.001011800337442751	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_structural_context_increment	P3_assay_calibrated	P4_full_structural_context	0.25	0.00024805403565064665	6.565787553982072e-05	0.0004228750990331651	-0.00033333333333333305	-0.002997278747168043	0.0023246389760344776	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_weighted_increment	P4_full_structural_context	P5_combined_context	0.25	0.0005170819551383321	0.0003641400992598964	0.0006953931438120453	-0.004666666666666666	-0.007521968434163747	-0.0020180242233416457	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	variable_structure_vs_composition	P0_composition	P1_variable_structure	0.25	0.00022499963911304377	6.494090198483904e-05	0.00039378780356674184	-0.0019999999999999983	-0.005191123544583152	0.0009283067663390614	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	weighted_increment	P2_assay_context	P3_assay_calibrated	0.25	-4.150988886397755e-06	-2.1279542975510823e-05	1.0952139431602558e-05	0.0	-2.3236453078533505e-05	2.5078409691195634e-05	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	assay_context_increment	P1_variable_structure	P2_assay_context	0.5	0.0006620702438766557	0.0005009166604249716	0.000825752409730307	-0.011501916986164361	-0.014577072342076548	-0.008518820468143135	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	calibration_vs_frozen_proxy	F0_frozen_low_proxy	P5_combined_context	0.5	0.0021390671872091316	0.0019425848207098861	0.0023397684975086735	-0.01633605600933489	-0.02044059897039342	-0.012849380264720812	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_amplicon_replacement_sensitivity	P3_assay_calibrated	P6_full_amplicon_replacement	0.5	0.0002875654477560996	0.00018654500166457867	0.0003967857656751672	-0.002333722287047841	-0.0041459081491598306	-0.0005439388521349388	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_structural_context_increment	P3_assay_calibrated	P4_full_structural_context	0.5	0.00022687958990452728	0.00014155136415294756	0.0003103552191078606	-0.0015002500416736123	-0.002949373231113431	-2.8289100354143123e-05	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	full_weighted_increment	P4_full_structural_context	P5_combined_context	0.5	0.00021872261468747212	0.00013283318822241986	0.0003130000742249395	-0.0016669444907484576	-0.003374859472497958	-8.269102053831687e-05	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	variable_structure_vs_composition	P0_composition	P1_variable_structure	0.5	7.611182498257207e-06	-8.69420841012658e-05	9.614905307445685e-05	0.0018336389398233045	-9.13691532611176e-05	0.003816883080407791	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	weighted_increment	P2_assay_context	P3_assay_calibrated	0.5	3.7993033863426007e-06	-4.561349557030691e-06	1.220010594871756e-05	0.0	-1.857027662905278e-05	1.9421670510228265e-05	11998	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	assay_context_increment	P1_variable_structure	P2_assay_context	0.1	0.0003945385378132382	1.7174768578803738e-05	0.000813192299403209	-0.004166666666666667	-0.010648532861451523	0.002027308467643226	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	calibration_vs_frozen_proxy	F0_frozen_low_proxy	P5_combined_context	0.1	0.0036219430412599563	0.003114283343128091	0.004136199285642461	-0.0275	-0.03738390600301571	-0.018351611603180645	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_amplicon_replacement_sensitivity	P3_assay_calibrated	P6_full_amplicon_replacement	0.1	0.0005556882347836911	0.000320983104495548	0.0007900910571200403	-0.0025	-0.006483879850494968	0.0008671760473789023	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_structural_context_increment	P3_assay_calibrated	P4_full_structural_context	0.1	0.00030104991048629515	4.213469352792321e-05	0.0005654381448639054	-0.0008333333333333335	-0.005591431313289683	0.003991044924512437	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_weighted_increment	P4_full_structural_context	P5_combined_context	0.1	0.0006784082554123216	0.00047549386225611	0.0008893689467160404	-0.003333333333333333	-0.006838615768985992	-0.0007961247457233467	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	variable_structure_vs_composition	P0_composition	P1_variable_structure	0.1	0.0005319738826989884	0.00013681295894856781	0.0008658381213578694	0.003333333333333333	-0.001917503151828208	0.00923915308684652	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	weighted_increment	P2_assay_context	P3_assay_calibrated	0.1	2.7202215748811653e-06	-3.554655063547352e-05	3.548195050289691e-05	0.0	-5.0716091134181365e-05	5.154269612490576e-05	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	assay_context_increment	P1_variable_structure	P2_assay_context	0.25	0.0005539450625660081	0.0003481606358128997	0.0007701473025357341	-0.0056685561853951315	-0.009430696750367985	-0.0021185390343718556	11994	sequence; conditional on frozen OOF or transfer predictions
