dataset	analysis	pool_or_direction	endpoint	model	feature	median_standardized_coefficient	coefficient_q25	coefficient_q75	negative_fits	positive_fits	n_fits	sign_boundary
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	left_boundary_vs_right_adapter_complement_4mers	-6.333999163791917e-05	-0.0001134521174654901	-3.598329231799713e-05	23	2	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	left_boundary_vs_right_adapter_max_rc_tract	-0.0001305323277071348	-0.0001584335812572221	-0.00010758567527095186	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	max_homopolymer	-3.6576915056047054e-06	-2.644224498868639e-05	7.075981900104664e-06	15	10	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	right_boundary_vs_left_adapter_complement_4mers	-0.00016754683690948312	-0.00019696054613431573	-0.00013344295374121025	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	right_boundary_vs_left_adapter_max_rc_tract	0.00010455196988610057	8.607068166714114e-05	0.0001279408524298104	1	24	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	right_boundary_vs_right_adapter_complement_4mers	-0.0004238225608850027	-0.0004365424580813291	-0.00040026391144930127	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	right_boundary_vs_right_adapter_max_rc_tract	-0.0005679030171689718	-0.0006090549323119928	-0.0005387484487195469	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	variable_candidate_pairs	0.00033408297770631416	0.00030513505929643126	0.0003727806012116117	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	variable_longest_stem	2.8587328876204755e-05	-4.811460230771462e-06	5.078055949726765e-05	9	16	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	base_freq_A	-0.00018128652044804836	-0.00019302593246491422	-0.00017255946458894948	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	base_freq_C	0.00039833523601440744	0.0003775581267052869	0.0004138804631658918	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	base_freq_G	0.0001910259312684346	0.0001762408078258694	0.00020192704931385486	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	base_freq_T	-0.00039033653346795874	-0.0004314620569609386	-0.00038232992623587645	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	gc_deviation_from_0p5	-2.263218927148899e-06	-2.8484768131996296e-05	3.716918590242033e-05	13	12	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	left_boundary_vs_left_adapter_complement_4mers	-0.0006241728422361758	-0.000671770664030564	-0.0005838745501106398	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	left_boundary_vs_left_adapter_max_rc_tract	-0.0009114930942545665	-0.0009481409298647828	-0.0008590999938794157	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	left_boundary_vs_right_adapter_complement_4mers	-6.35933861199687e-05	-0.00011361355179838696	-3.639939187940014e-05	23	2	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	left_boundary_vs_right_adapter_max_rc_tract	-0.00013025472526281818	-0.00015817586280363104	-0.00010719910855043644	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	max_homopolymer	-2.90674728131806e-06	-2.5856915161833445e-05	7.466204947510331e-06	15	10	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	right_boundary_vs_left_adapter_complement_4mers	-0.0001677411108600186	-0.0001913752021507062	-0.00013372318003060786	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	right_boundary_vs_left_adapter_max_rc_tract	0.00010483599379499436	8.621948196655211e-05	0.00012806214667461714	1	24	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	right_boundary_vs_right_adapter_complement_4mers	-0.0004241936488064965	-0.0004366790095504768	-0.00040073630230181575	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	right_boundary_vs_right_adapter_max_rc_tract	-0.0005660777913560081	-0.0006091015064189684	-0.0005387607468269129	25	0	25	association direction within fitted model; not causal effect
