dataset	direction	selector_bits	feature	negative_fibers	nonnegative_fibers	negative_fiber_selected_feature_mean	nonnegative_fiber_selected_feature_mean	standardized_mean_difference_negative_minus_nonnegative	analysis_role
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	right_boundary_vs_left_adapter_complement_4mers	140	372	1.2	1.3387096774193548	-0.1035165735116334	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	right_boundary_vs_right_adapter_max_rc_tract	140	372	3.842857142857143	3.747311827956989	0.13905131759730488	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	right_boundary_vs_right_adapter_complement_4mers	140	372	1.1785714285714286	1.0134408602150538	0.15412063624036276	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	gc_deviation_from_0p5	26	102	0.024928774928767695	0.02414669571531784	0.05588239418330298	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	max_homopolymer	26	102	2.9615384615384617	2.9901960784313726	-0.23025812885853036	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	base_freq_A	26	102	0.25462962962965385	0.25508351488745096	-0.015146366566241087	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	base_freq_C	26	102	0.263888888889	0.25571895424838237	0.23136366919701631	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	base_freq_G	26	102	0.2339743589743846	0.24627814088600983	-0.3455152530257776	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	base_freq_T	26	102	0.24750712250707693	0.2429193899782451	0.14391600999418977	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	variable_candidate_pairs	26	102	34.11538461538461	29.99019607843137	0.3816114703520148	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	variable_weighted_pairs	26	102	153.1153846153846	131.94117647058823	0.3960570924111768	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	variable_longest_stem	26	102	6.653846153846154	6.2254901960784315	0.3929900825273308	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	full_amplicon_candidate_pairs	26	102	114.3076923076923	113.31372549019608	0.06716179482677942	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	full_amplicon_weighted_pairs	26	102	677.0	683.7450980392157	-0.07365620219361128	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	full_amplicon_longest_stem	26	102	13.576923076923077	13.882352941176471	-0.47122445286145753	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	left_boundary_vs_left_adapter_max_rc_tract	26	102	2.923076923076923	3.1176470588235294	-0.42479247515562074	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	left_boundary_vs_left_adapter_complement_4mers	26	102	0.11538461538461539	0.18627450980392157	-0.16204263492549084	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	left_boundary_vs_right_adapter_max_rc_tract	26	102	3.730769230769231	3.8137254901960786	-0.11244698725324646	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	left_boundary_vs_right_adapter_complement_4mers	26	102	1.0384615384615385	1.2745098039215685	-0.18676301813277954	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	right_boundary_vs_left_adapter_max_rc_tract	26	102	4.115384615384615	3.9313725490196076	0.22648487594308214	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	right_boundary_vs_left_adapter_complement_4mers	26	102	1.4230769230769231	1.196078431372549	0.18762851286991866	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	right_boundary_vs_right_adapter_max_rc_tract	26	102	3.5	3.627450980392157	-0.1905934363833268	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	right_boundary_vs_right_adapter_complement_4mers	26	102	0.7692307692307693	0.8235294117647058	-0.05441994545732378	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	gc_deviation_from_0p5	140	116	0.022751322751318002	0.02274904214558827	0.00015796567584150308	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	max_homopolymer	140	116	3.0	2.9913793103448274	0.13798724491821973	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	base_freq_A	140	116	0.24794973544974996	0.26229246487872415	-0.46926039100589145	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	base_freq_C	140	116	0.2627645502645857	0.2582215836526638	0.14519287661795544	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	base_freq_G	140	116	0.24702380952380715	0.24074074074072416	0.19390760032432763	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	base_freq_T	140	116	0.24226190476191434	0.2387452107279741	0.11064554196604648	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	variable_candidate_pairs	140	116	27.535714285714285	27.25862068965517	0.03201697505135365	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	variable_weighted_pairs	140	116	119.80714285714286	118.03448275862068	0.04234974301542851	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	variable_longest_stem	140	116	5.978571428571429	5.818965517241379	0.1641492912644811	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	full_amplicon_candidate_pairs	140	116	112.50714285714285	102.83620689655173	0.7851807187776059	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	full_amplicon_weighted_pairs	140	116	674.4857142857143	598.3362068965517	1.0310475059938062	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	full_amplicon_longest_stem	140	116	13.792857142857143	13.163793103448276	1.1434121536407607	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	left_boundary_vs_left_adapter_max_rc_tract	140	116	3.5428571428571427	3.3017241379310347	0.3939081211480614	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	left_boundary_vs_left_adapter_complement_4mers	140	116	0.7642857142857142	0.5086206896551724	0.27457872937569294	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	left_boundary_vs_right_adapter_max_rc_tract	140	116	4.135714285714286	3.810344827586207	0.42025839431865103	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	left_boundary_vs_right_adapter_complement_4mers	140	116	1.6071428571428572	1.0862068965517242	0.4301501818218981	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	right_boundary_vs_left_adapter_max_rc_tract	140	116	3.9214285714285713	3.9310344827586206	-0.01211883219210171	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	right_boundary_vs_left_adapter_complement_4mers	140	116	1.4071428571428573	1.3448275862068966	0.045330534366228026	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	right_boundary_vs_right_adapter_max_rc_tract	140	116	3.7857142857142856	3.6379310344827585	0.20788327696528047	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	right_boundary_vs_right_adapter_complement_4mers	140	116	1.15	0.8879310344827587	0.23297760479432905	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	gc_deviation_from_0p5	46	18	0.022745571658612608	0.024691358024690004	-0.15270616951891713	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	max_homopolymer	46	18	3.0	3.0	0.0	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	base_freq_A	46	18	0.25281803542676085	0.26851851851861114	-0.4915652863297649	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	base_freq_C	46	18	0.2697262479871739	0.2530864197531667	0.6038044350686637	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	base_freq_G	46	18	0.24537037037039128	0.24691358024694443	-0.050418502757182355	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	base_freq_T	46	18	0.23208534621576088	0.2314814814815	0.017667748058371197	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	variable_candidate_pairs	46	18	29.065217391304348	31.77777777777778	-0.2932762964877334	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	variable_weighted_pairs	46	18	127.1304347826087	138.61111111111111	-0.2541748961999991	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	variable_longest_stem	46	18	6.1521739130434785	6.0	0.14985369523803646	post hoc exploratory selected-sequence feature stratification
